"student_id","program_id","timestamp","GADS_1orig","GADS_2orig","GADS_3orig","GADS_4orig","GADS_10orig","GADS_11orig","GADS_12orig","GADS_13orig","GADS_1","GADS_2","GADS_3","GADS_4","GADS_10","GADS_11","GADS_12","GADS_13","GADS_sum_ans_4","GADS_sum_dep_4","SE01_conf_aprender","SE02_autonomia_aprender","SE14NEG_cuesta_ejercicios","SE14R_cuesta_ejercicios","SE03_resolver_ejercicios","SE04_estudiar_tiempo_necesario","SE15NEG_cuesta_clases","SE15R_cuesta_clases","SE06_entender_compleja","SE08_buscar_ayuda_autonomia","SE09_conf_aprobar","SE10_identif_baches","SE16NEG_cuesta_comparacion","SE16R_cuesta_comparacion","SE11_entender_clases","SE13_resiliencia","SE_t1","SEpos_t1","SENeg_t1","SENegR_t1","BPN01_AS","BPN02_AF","BPN03_RF","BPN04_CS","BPN05_AS","BPN06_AF","BPN07_RS","BPN08_RF","BPN09_CF","BPN10_RS","BPN11_CF","BPN12_CS","BPN_CS_t2","BPN_CF_t2","BPN_AS_t2","BPN_AF_t2","BPN_RS_t2","BPN_RF_t2","PERC_lastP_cat","PERC_lastP","SABE_NOTA_lastP","ESTUDIO_ANTICIPADO_cat","ESTUDIO_ANTICIPADO","VECES_ESTUDIO_cat","VECES_ESTUDIO","HORAS_ESTUDIO_cat","HORAS_ESTUDIO","ESTUDIARIA_MAS_cat","ESTUDIARIA_MAS","VER_VS_RESOLVER_APRENDER","VER_VS_RESOLVER_PRUEBAS","VER_VS_RESOLVER_TIEMPO"
"dd45762f6a2e74c13b14696867bc23",1807,"6/27/2024 16:14:51",1,2,2,1,2,2,1,1,0,1,1,0,1,1,0,0,2,2,3,3,4,3,3,3,3,4,3,4,5,4,5,2,2,4,3.307692308,3.4,4,3,3,4,2,4,2,4,4,1,4,4,5,2,3,4.5,2.5,4,4,1.5,"muy mal",1,"Si","2 días antes",2,"4 veces",4,"entre 6 y 10 horas",6,"Más",1,1,2,3
"e43734a1fc9d3cfea67f129f751af7",1708,"6/24/2024 11:52:29",2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,3,1,1,5,2,1,1,1,4,6,1,1,1,1.538461538,1.4,5,2,4,3,2,2,2,1,4,1,5,4,5,1,1.5,5,3,2,4,1.5,"muy mal",1,"No","No estudié",0,"1 vez",1,"entre 1 y 3 horas",1,"Mucho más",2,6,6,3
"e975e8998c6b9d5c32cb0d9f4754f8",1708,"7/1/2024 10:05:48",2,2,2,2,3,1,1,2,1,1,1,1,1,0,0,1,4,2,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,3.769230769,4,4,3,3,4,4,3,4,3,4,2,4,4,3,3,3,3.5,3.5,3.5,4,3,"muy mal",1,"Si","entre 3 y 6 días antes",3,"3 veces",3,"entre 6 y 10 horas",6,"Igual",0,4,4,3
"fefbc24ba5e2672d090bcd1704522f",1708,"7/1/2024 10:05:24",2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,4,4,2,4,4,3,2,2,5,2,2,2,2,2,5,2,2,2,2.230769231,2.2,4.666666667,2.333333333,2,5,4,2,2,4,2,2,5,4,5,3,2.5,5,2,4.5,3,3,"muy mal",1,"Si","2 días antes",2,"4 veces",4,"entre 1 y 3 horas",1,"Más",1,2,5,2
"fdfef5971326962c3d8d9532207b27",1822,"6/26/2024 11:27:58",2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,4,1,3,4,4,3,3,5,3,4,3,5,3,5,2,5,4,4,3.923076923,3.9,3,4,4,4,2,3,3,3,3,3,4,2,4,3,3,4,3.5,3.5,2.5,2.5,"más o menos",3,"Si","1 semana antes",7,"5 o más veces",5,"entre 15 y 24 horas",15,"Más",1,5,5,5
"7a7d0e2d5d3a81958e1f69cc9914e4",1708,"7/1/2024 10:06:38",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,6,2,5,6,6,1,6,5,5,6,6,1,6,6,4,5.615384615,5.6,1.333333333,5.666666667,4,4,1,4,4,2,5,1,4,5,3,4,4,3.5,4,3,5,1,"más o menos",3,"Si","2 días antes",2,"2 veces",2,"entre 3 y 6 horas",3,"Más",1,6,6,3
"1aab461ce8ab84020ac6303748ac02",1704,"6/25/2024 11:59:22",3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,4,4,6,6,3,4,6,6,1,6,6,5,4,6,6,1,6,6,5.230769231,5.7,3.333333333,3.666666667,1,3,1,5,5,3,5,1,3,5,1,5,5,2,3,3,5,1,"muy mal",1,"Si","2 semanas antes",14,"5 o más veces",5,"más de 24 horas",24,"Mucho más",2,6,6,3
"99f33999db8f4b26a8f17bdd7f51a9",1822,"6/24/2024 11:15:30",2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,4,4,2,2,5,2,5,3,4,3,2,3,2,4,4,3,4,3,2.923076923,3,4.333333333,2.666666667,3,4,1,2,2,2,4,3,5,3,4,2,2,4.5,2.5,3,3.5,2,"mal",2,"No","1 semana antes",7,"4 veces",4,"entre 6 y 10 horas",6,"Más",1,3,5,5
"af328dc4cccfd79bc5b510f350b183",1740,"7/1/2024 14:42:14",2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,4,4,2,3,5,2,3,1,4,3,2,3,1,2,6,1,3,2,2.153846154,2.2,5,2,4,3,1,2,5,4,3,1,4,3,4,2,2,4,4.5,3.5,3,1,"mal",2,"Si","1 semana antes",7,"5 o más veces",5,"entre 3 y 6 horas",3,"Mucho más",2,4,6,3
"0fcc720c5e83469a91a9b1315846e6",1730,"7/3/2024 11:57:02",2,3,1,2,3,1,2,2,1,1,0,1,1,0,1,1,3,3,5,5,5,2,5,5,4,3,4,5,5,6,6,1,5,6,4.384615385,5.1,5,2,5,5,4,3,3,1,3,1,5,5,5,4,3.5,5,4,3,4,2.5,"muy mal",1,"Si","1 semana antes",7,"2 veces",2,"entre 3 y 6 horas",3,"Más",1,6,1,1
